Table,Nom de la donnée,Signification,Type logique,Format / Taille (SQL),Contrainte,Obligatoire,Nature,Observations
Client,id_client,Identifiant unique du client,Numérique,INT AUTO_INCREMENT,Clé primaire (PK),Oui,Élémentaire,Généré automatiquement par le SGBD
Client,nom,Nom de famille du client,Alphabétique,VARCHAR(50),NOT NULL,Oui,Élémentaire,
Client,prenom,Prénom du client,Alphabétique,VARCHAR(50),NOT NULL,Oui,Élémentaire,
Client,email,Adresse email du client (identifiant de connexion),Alphanumérique,VARCHAR(100),"UNIQUE, NOT NULL",Oui,Élémentaire,Doit contenir le caractère @ (contrôle de saisie)
Client,mot_de_passe,Mot de passe du compte client,Alphanumérique,VARCHAR(255),NOT NULL,Oui,Élémentaire,"Stocké sous forme hachée (ex. bcrypt), jamais en clair"
Client,telephone,Numéro de téléphone du client,Alphanumérique,VARCHAR(20),NOT NULL,Oui,Élémentaire,Format national ou international (+212...)
Client,adresse,Adresse postale du client,Alphanumérique,VARCHAR(150),-,Non,Élémentaire,
Client,date_inscription,Date et heure de création du compte,Date/Heure,DATETIME,NOT NULL,Oui,Élémentaire,Valeur par défaut : CURRENT_TIMESTAMP
Type_hebergement,id_type,Identifiant unique du type d'hébergement,Numérique,INT AUTO_INCREMENT,Clé primaire (PK),Oui,Élémentaire,Généré automatiquement par le SGBD
Type_hebergement,nom_type,Libellé du type d'hébergement,Alphanumérique,VARCHAR(50),"UNIQUE, NOT NULL",Oui,Élémentaire,"Ex. : Simple, Double, Suite, Familiale"
Type_hebergement,description,Description du type d'hébergement,Alphanumérique,TEXT,-,Non,Élémentaire,
Type_hebergement,capacite,Nombre maximum de personnes autorisées,Numérique,INT,CHECK (capacite > 0),Oui,Élémentaire,Sert à contrôler Reservation.nombre_personnes
Chambre,id_chambre,Identifiant unique de la chambre,Numérique,INT AUTO_INCREMENT,Clé primaire (PK),Oui,Élémentaire,Généré automatiquement par le SGBD
Chambre,numero,Numéro de la chambre,Alphanumérique,VARCHAR(10),"UNIQUE, NOT NULL",Oui,Élémentaire,Deux chambres ne peuvent pas porter le même numéro
Chambre,etage,Étage où se situe la chambre,Numérique,INT,CHECK (etage >= 0),Oui,Élémentaire,
Chambre,prix_nuit,Prix de la chambre par nuit (en DH),Numérique décimal,"DECIMAL(10,2)",CHECK (prix_nuit > 0),Oui,Élémentaire,Sert au calcul de Reservation.montant_total
Chambre,statut,État d'exploitation de la chambre,Alphanumérique (liste),"ENUM('Disponible','Occupée','Maintenance')",NOT NULL,Oui,Élémentaire,Valeur par défaut : 'Disponible'. La disponibilité réelle sur une période se vérifie dans la table Reservation
Chambre,description,Description / équipements de la chambre,Alphanumérique,TEXT,-,Non,Élémentaire,
