Nom,Signification,Type,Format,Taille,Obligatoire,Calculee
titre,Titre de l'article,Texte,Texte,255,Oui,Non
extrait,Resume court affiche sous le titre dans les listes d'articles,Texte,Texte long,500,Oui,Non
contenu,"Contenu complet de l'article (texte, images, citations)",Texte,Texte riche (HTML),,Oui,Non
image_couverture,Image de couverture de l'article,Fichier,Image (jpg/png),,Oui,Non
date_publication,Date de publication de l'article,Date,JJ/MM/AAAA,,Oui,Non
duree_lecture,Temps de lecture estim,Nombre,Minutes,,Non,Oui
nom_categorie,Nom de la categorie de l'article,Texte,Texte,100,Oui,Non
description_categorie,Description de la categorie,Texte,Texte long,500,Non,Non
nom,Nom de famille de l'auteur,Texte,Texte,100,Oui,Non
prenom,Prenom de l'auteur,Texte,Texte,100,Oui,Non
photo_auteur,Photo de profil de l'auteur,Fichier,Image (jpg/png),,Non,Non
bio_auteur,Presentation / parcours de l'auteur affiche sur la page  pr,Texte,Texte long,1000,Non,Non
email,Adresse email de connexion l'espace administrateur,Texte,Email,255,Oui,Non
mot_de_passe,Mot de passe de connexion l'espace administrateur,Texte,Mot de passe (masquee),255,Oui,Non
